Time	R044WFSIMES	R044WFSQMES	R044WFSGMES	R044WFSPMES	R044WFSIASK	R044WFSQASK	R044WFSGASK	R044WFSPASK	R044WFSCRFP	R044WFSCRFPP	R044WFSCRRP	R044WFSCRRPP	R044WFSGLDE	R044WFSPLDE	R044WFSDETA2	R044WFSCFQE2	R044WFSDFQES
-102.4	19918	11075	14.5934	29.0863	-1533	-9520	2.79327	-99.7064	1.97724	-105.37	1.81244	-75.2014	0.000347283	0.0604248	23.3075	12.4506	-0.00325963
-102.35	19923	11072	14.5914	29.0588	-1455	-9585	2.7951	-93.2794	1.91062	-102.75	1.92059	-73.6523	0.000564334	0.0604248	22.9504	12.2376	-0.00325963
-102.3	19919	11081	14.593	29.0753	-685	-9027	2.76733	-98.02	1.89644	-100.486	1.87299	-75.4211	0.000434103	0.032959	23.1482	12.3554	-0.00325963
-102.25	19921	11064	14.5903	29.0643	-1023	-9154	2.90924	-95.3943	1.82064	-105.969	1.96163	-69.1205	0.000520924	0.0604248	23.1702	12.3685	-0.00325963
-102.2	19914	11081	14.5957	29.0643	-385	-9121	2.67426	-96.2238	1.90798	-102.398	1.84818	-75.141	0.000520924	0.0274658	23.1152	12.3358	-0.00325963
-102.15	19913	11071	14.5868	29.0643	-501	-9284	3.04047	-93.4937	1.80691	-105.958	1.9671	-70.8069	0.000520924	0.065918	23.0164	12.2768	-0.00325963
-102.1	19925	11070	14.5922	29.0643	-908	-9854	2.84058	-95.2844	1.84811	-102.321	1.86952	-74.6631	0.000520924	0.0823975	23.0328	12.2867	-0.00325963
-102.05	19917	11061	14.588	29.0588	-1789	-8848	2.92023	-96.2073	1.86646	-103.101	2.00996	-75.7782	0.000564334	0.0494385	23.5931	12.6218	-0.00325963
-102	19921	11073	14.5934	29.0479	-160	-9159	2.7951	-91.0052	1.85876	-104.595	1.80629	-73.4601	0.000651155	0.0439453	22.5549	12.003	-0.00325963
-101.95	19917	11066	14.5914	29.0643	-1279	-9341	2.84943	-97.5201	1.88242	-106.496	1.9361	-72.724	0.000520924	0.0494385	23.3459	12.4736	-0.00325963
-101.9	19920	11066	14.5911	29.0588	-559	-9361	2.8717	-94.2352	1.79668	-104.485	1.96072	-72.6746	0.000564334	0.0604248	22.89	12.2017	-0.00325963
-101.85	19917	11071	14.5938	29.0753	-1955	-8741	2.68768	-98.5858	1.81111	-107.633	1.97422	-70.0598	0.000434103	0.0219727	23.2306	12.4046	-0.00325963
