Time	R1M2WFSIMES	R1M2WFSQMES	R1M2WFSGMES	R1M2WFSPMES	R1M2WFSIASK	R1M2WFSQASK	R1M2WFSGASK	R1M2WFSPASK	R1M2WFSCRFP	R1M2WFSCRFPP	R1M2WFSCRRP	R1M2WFSCRRPP	R1M2WFSGLDE	R1M2WFSPLDE	R1M2WFSDETA2	R1M2WFSCFQE2	R1M2WFSDFQES
-102.4	26348	-1870	17.0055	-4.03748	-5708	-12119	4.24377	-117.224	2.56287	72.5482	2.62125	135.791	-0.000454459	-0.0494385	-8.5199	-4.48518	0.00651926
-102.2	26346	-1879	17.0076	-4.08142	-5039	-11644	3.80829	-112.412	2.56364	66.72	2.61431	140.208	-0.000151486	-0.0604248	-9.41528	-4.96472	0.00325963
-102	26347	-1877	17.0058	-4.07043	-4792	-12297	4.00146	-112.813	2.74221	68.5602	2.52636	139.57	-0.00022723	-0.0274658	-9.70642	-5.12117	0.00325963
-101.8	26352	-1874	17.0086	-4.07043	-5508	-11816	3.84949	-114.351	2.77075	69.6259	2.45615	137.944	-0.00022723	-0.065918	-10.2667	-5.42304	0.00325963
-101.6	26344	-1867	17.003	-4.06494	-6408	-13118	4.17419	-112.885	2.67317	69.7906	2.68915	138.615	-0.000265101	-0.00549316	-11.4258	-6.05096	0.00325963
-101.4	26350	-1869	17.0051	-4.07043	-5587	-12166	3.87573	-111.484	2.67317	65.7147	2.60389	141.097	-0.00022723	-0.0384521	-10.9918	-5.81529	0.00325963
-101.2	26347	-1863	17.0058	-4.07593	-4438	-12382	3.89648	-111.802	2.71289	65.0555	2.62974	142.987	-0.000189358	-0.032959	-11.217	-5.93751	0.00325963
-101	26353	-1880	17.011	-4.07043	-5365	-11340	3.76526	-116.318	2.54151	64.4897	2.68336	143.981	-0.00022723	-0.0933838	-10.025	-5.29269	0.00325963
-100.8	26339	-1863	16.9993	-4.07043	-5387	-12418	4.26636	-111.165	2.79041	65.4895	2.50282	143.24	-0.00022723	-0.0274658	-9.1571	-4.8262	0.00325963
-100.6	26347	-1868	17.01	-4.09241	-4227	-11236	3.61755	-111.253	2.59835	68.8568	2.55799	138.757	-7.57432e-05	-0.0769043	-7.92114	-4.16576	0.00325963
-100.4	26340	-1873	17.0055	-4.08142	-4497	-11658	3.91907	-111.506	2.63653	66.1322	2.60466	141.097	-0.000151486	-0.0604248	-7.59155	-3.99034	0.00325963
-100.2	26347	-1883	17.0062	-4.0979	-4369	-12347	3.67615	-108.715	2.80198	73.1689	2.33031	135.066	-3.78716e-05	-0.0274658	-5.74585	-3.0126	0.00325963
-100	26338	-1879	17.003	-4.07043	-5223	-12346	4.04938	-112.313	2.71752	70.6641	2.41912	137.51	-0.00022723	-0.0274658	-5.65247	-2.96331	0.00325963
-99.8	26339	-1874	16.9997	-4.08142	-3976	-12837	4.15314	-108.787	2.69438	72.4384	2.43493	136.434	-0.000151486	0.0109863	-5.50964	-2.88797	0
-99.6	26340	-1890	17.0058	-4.09241	-4355	-11809	3.74298	-108.484	2.56595	67.6703	2.5765	139.565	-7.57432e-05	-0.0439453	-5.65247	-2.96331	0
-99.4	26340	-1893	17.003	-4.07043	-5563	-12579	4.01001	-111.055	2.70634	72.4933	2.45923	135.709	-0.00022723	-0.0274658	-5.27344	-2.76344	0
-99.2001	26348	-1886	17.0083	-4.08142	-4952	-11286	3.8266	-112.736	2.6481	70.6476	2.45846	136.379	-0.000151486	-0.0823975	-5.48767	-2.87638	0
-99.0001	26329	-1881	16.9968	-4.08691	-3268	-13217	4.24377	-107.655	2.64733	81.4197	2.46463	126.661	-0.000113615	0.0494385	-5.15808	-2.70266	0
